ipm_region,state,Population of state in Zone,Zone Population,State Population,Zone Prop,state_prop,region,dg_region,frac_dg_in_region
SPP_SPS,Colorado,11.03031752,948305.2341,5758736,1.16E-05,1.92E-06,SPP_SPS,Colorado,1.92E-06
SPP_SPS,Kansas,233.9625373,948305.2341,2913314,0.000246716,8.03E-05,SPP_SPS,Kansas,8.03E-05
SPP_SPS,New Mexico,269528.945,948305.2341,2096829,0.28422172,0.128541214,SPP_SPS,New Mexico,0.128541214
SPP_SPS,Oklahoma,27434.04093,948305.2341,3956971,0.028929547,0.006933091,SPP_SPS,Oklahoma,0.006933091
SPP_SPS,Texas,651097.2553,948305.2341,28995881,0.686590385,0.022454819,SPP_SPS,Texas,0.022454819
SPP_WAUE,Iowa,96.21905698,792433.2511,3155070,0.000121422,3.05E-05,SPP_WAUE,Iowa,3.05E-05
SPP_WAUE,Minnesota,64164.80341,792433.2511,5639632,0.080971872,0.011377481,SPP_WAUE,Minnesota,0.011377481
SPP_WAUE,Montana,12666.08884,792433.2511,1068778,0.015983793,0.011851001,SPP_WAUE,Montana,0.011851001
SPP_WAUE,Nebraska,70.02829791,792433.2511,1934408,8.84E-05,3.62E-05,SPP_WAUE,Nebraska,3.62E-05
SPP_WAUE,North Dakota,240775.5333,792433.2511,762062,0.303843299,0.315952683,SPP_WAUE,North Dakota,0.315952683
SPP_WAUE,South Dakota,474660.5782,792433.2511,884659,0.598991243,0.536546374,SPP_WAUE,South Dakota,0.536546374
SPP_WEST,Arkansas,1211904.749,5892156.513,3017804,0.205681018,0.401584977,SPP_WEST,Arkansas,0.401584977
SPP_WEST,Illinois,20.62601967,5892156.513,12671821,3.50E-06,1.63E-06,SPP_WEST,Illinois,1.63E-06
SPP_WEST,Kansas,353.7786643,5892156.513,2913314,6.00E-05,0.000121435,SPP_WEST,Kansas,0.000121435
SPP_WEST,Louisiana,278003.4069,5892156.513,4648794,0.047181945,0.059801189,SPP_WEST,Louisiana,0.059801189
SPP_WEST,Missouri,136661.3055,5892156.513,6137428,0.023193767,0.022266869,SPP_WEST,Missouri,0.022266869
SPP_WEST,Oklahoma,3928876.747,5892156.513,3956971,0.666797757,0.992900061,SPP_WEST,Oklahoma,0.992900061
SPP_WEST,Texas,336335.8996,5892156.513,28995881,0.05708197,0.011599437,SPP_WEST,Texas,0.011599437
S_C_KY,Indiana,699.3271928,2138371.094,6732219,0.000327037,0.000103878,S_C_KY,Indiana,0.000103878
S_C_KY,Kentucky,2133548.723,2138371.094,4467673,0.997744839,0.47755257,S_C_KY,Kentucky,0.47755257
S_C_KY,Ohio,255.1926722,2138371.094,11689100,0.00011934,2.18E-05,S_C_KY,Ohio,2.18E-05
S_C_KY,Virginia,3867.850491,2138371.094,8535519,0.001808784,0.000453148,S_C_KY,Virginia,0.000453148
S_C_TVA,Alabama,1160910.179,10162846.55,4903185,0.114230809,0.236766546,S_C_TVA,Alabama,0.236766546
S_C_TVA,Arkansas,310.0954411,10162846.55,3017804,3.05E-05,0.000102755,S_C_TVA,Arkansas,0.000102755
S_C_TVA,Georgia,376793.3934,10162846.55,10617423,0.037075576,0.035488215,S_C_TVA,Georgia,0.035488215
S_C_TVA,Illinois,13779.71845,10162846.55,12671821,0.001355892,0.00108743,S_C_TVA,Illinois,0.00108743
S_C_TVA,Kentucky,622039.1062,10162846.55,4467673,0.061207173,0.139231118,S_C_TVA,Kentucky,0.139231118
S_C_TVA,Mississippi,907140.3901,10162846.55,2976149,0.089260463,0.304803419,S_C_TVA,Mississippi,0.304803419
S_C_TVA,Missouri,209.1740859,10162846.55,6137428,2.06E-05,3.41E-05,S_C_TVA,Missouri,3.41E-05
S_C_TVA,North Carolina,215670.6831,10162846.55,10488084,0.021221484,0.020563402,S_C_TVA,North Carolina,0.020563402
S_C_TVA,Tennessee,6805087.468,10162846.55,6829174,0.669604469,0.996472995,S_C_TVA,Tennessee,0.996472995
S_C_TVA,Virginia,60906.34491,10162846.55,8535519,0.00599304,0.007135635,S_C_TVA,Virginia,0.007135635
S_D_AECI,Arkansas,86.51453583,520425.7956,3017804,0.000166238,2.87E-05,S_D_AECI,Arkansas,2.87E-05
S_D_AECI,Illinois,52.79455804,520425.7956,12671821,0.000101445,4.17E-06,S_D_AECI,Illinois,4.17E-06
S_D_AECI,Iowa,203.7659054,520425.7956,3155070,0.000391537,6.46E-05,S_D_AECI,Iowa,6.46E-05
S_D_AECI,Kentucky,72.22263669,520425.7956,4467673,0.000138776,1.62E-05,S_D_AECI,Kentucky,1.62E-05
S_D_AECI,Missouri,519941.1917,520425.7956,6137428,0.999068832,0.084716463,S_D_AECI,Missouri,0.084716463
S_D_AECI,Nebraska,22.04469361,520425.7956,1934408,4.24E-05,1.14E-05,S_D_AECI,Nebraska,1.14E-05
S_D_AECI,Tennessee,47.26164537,520425.7956,6829174,9.08E-05,6.92E-06,S_D_AECI,Tennessee,6.92E-06
S_SOU,Alabama,3742355.006,15316649.43,4903185,0.244332484,0.763249807,S_SOU,Alabama,0.763249807
S_SOU,Florida,1081750.484,15316649.43,21477737,0.070625791,0.05036613,S_SOU,Florida,0.05036613
S_SOU,Georgia,10068912.25,15316649.43,10617423,0.657383476,0.948338617,S_SOU,Georgia,0.948338617
S_SOU,Mississippi,422329.0759,15316649.43,2976149,0.027573202,0.141904547,S_SOU,Mississippi,0.141904547
S_SOU,South Carolina,1302.61369,15316649.43,5148714,8.50E-05,0.000252998,S_SOU,South Carolina,0.000252998
S_VACA,Georgia,159044.0956,15273795.85,10617423,0.010412873,0.014979538,S_VACA,Georgia,0.014979538
S_VACA,North Carolina,9964652.596,15273795.85,10488084,0.652401845,0.950092753,S_VACA,North Carolina,0.950092753
S_VACA,South Carolina,5147361.727,15273795.85,5148714,0.337006058,0.999737357,S_VACA,South Carolina,0.999737357
S_VACA,Tennessee,373.5383802,15273795.85,6829174,2.45E-05,5.47E-05,S_VACA,Tennessee,5.47E-05
S_VACA,Virginia,2363.887924,15273795.85,8535519,0.000154768,0.000276947,S_VACA,Virginia,0.000276947
WECC_AZ,Arizona,7277590.072,7279880.768,7278717,0.999685339,0.999845175,WECC_AZ,Arizona,0.999845175
WECC_AZ,California,115.9027301,7279880.768,39512223,1.59E-05,2.93E-06,WECC_AZ,California,2.93E-06
WECC_AZ,Nevada,1921.96124,7279880.768,3080156,0.00026401,0.000623982,WECC_AZ,Nevada,0.000623982
WECC_AZ,Utah,252.8312436,7279880.768,3205958,3.47E-05,7.89E-05,WECC_AZ,Utah,7.89E-05
WECC_CO,Colorado,5758285.988,5758415.796,5758736,0.999977458,0.999921856,WECC_CO,Colorado,0.999921856
WECC_CO,Kansas,19.49032083,5758415.796,2913314,3.38E-06,6.69E-06,WECC_CO,Kansas,6.69E-06
WECC_CO,Nebraska,54.2397413,5758415.796,1934408,9.42E-06,2.80E-05,WECC_CO,Nebraska,2.80E-05
WECC_CO,New Mexico,23.40763549,5758415.796,2096829,4.06E-06,1.12E-05,WECC_CO,New Mexico,1.12E-05
WECC_CO,Utah,2.013714664,5758415.796,3205958,3.50E-07,6.28E-07,WECC_CO,Utah,6.28E-07
WECC_CO,Wyoming,30.65602993,5758415.796,578759,5.32E-06,5.30E-05,WECC_CO,Wyoming,5.30E-05
WECC_ID,Idaho,1446545.647,1446708.463,1787065,0.999887457,0.809453292,WECC_ID,Idaho,0.809453292
WECC_ID,Montana,137.7128182,1446708.463,1068778,9.52E-05,0.000128851,WECC_ID,Montana,0.000128851
WECC_ID,Oregon,25.1037737,1446708.463,4217737,1.74E-05,5.95E-06,WECC_ID,Oregon,5.95E-06
WECC_IID,Arizona,10.80433442,181090.9309,7278717,5.97E-05,1.48E-06,WECC_IID,Arizona,1.48E-06
WECC_IID,California,181080.1265,181090.9309,39512223,0.999940338,0.004582889,WECC_IID,California,0.004582889
WECC_MT,Idaho,68.52855253,994698.2211,1787065,6.89E-05,3.83E-05,WECC_MT,Idaho,3.83E-05
WECC_MT,Montana,994563.3325,994698.2211,1068778,0.999864392,0.930561195,WECC_MT,Montana,0.930561195
WECC_MT,Wyoming,66.36009284,994698.2211,578759,6.67E-05,0.000114659,WECC_MT,Wyoming,0.000114659
WECC_NM,Arizona,164.4584114,2671381.752,7278717,6.16E-05,2.26E-05,WECC_NM,Arizona,2.26E-05
WECC_NM,Colorado,135.6668234,2671381.752,5758736,5.08E-05,2.36E-05,WECC_NM,Colorado,2.36E-05
WECC_NM,New Mexico,1826958.787,2671381.752,2096829,0.683900302,0.871296032,WECC_NM,New Mexico,0.871296032
WECC_NM,Texas,844122.8406,2671381.752,28995881,0.31598735,0.029111819,WECC_NM,Texas,0.029111819
WECC_NNV,California,84.55276701,813169.279,39512223,0.000103979,2.14E-06,WECC_NNV,California,2.14E-06
WECC_NNV,Idaho,70.65185438,813169.279,1787065,8.69E-05,3.95E-05,WECC_NNV,Idaho,3.95E-05
WECC_NNV,Nevada,812563.0896,813169.279,3080156,0.999254535,0.263805823,WECC_NNV,Nevada,0.263805823
WECC_NNV,Utah,450.9848371,813169.279,3205958,0.000554601,0.000140671,WECC_NNV,Utah,0.000140671
WECC_PNW,California,80134.33808,12252730.83,39512223,0.006540121,0.00202809,WECC_PNW,California,0.00202809
WECC_PNW,Idaho,339985.8562,12252730.83,1787065,0.027747762,0.190248176,WECC_PNW,Idaho,0.190248176
WECC_PNW,Montana,20.61927936,12252730.83,1068778,1.68E-06,1.93E-05,WECC_PNW,Montana,1.93E-05
WECC_PNW,Oregon,4217697.019,12252730.83,4217737,0.344225061,0.999990521,WECC_PNW,Oregon,0.999990521
WECC_PNW,Washington,7614893,12252730.83,7614893,0.621485374,1,WECC_PNW,Washington,1
WECC_SCE,Arizona,13.09949252,10518448.41,7278717,1.25E-06,1.80E-06,WECC_SCE,Arizona,1.80E-06
WECC_SCE,California,10516963.44,10518448.41,39512223,0.999858822,0.266169874,WECC_SCE,California,0.266169874
WECC_SCE,Nevada,1471.879217,10518448.41,3080156,0.000139933,0.000477859,WECC_SCE,Nevada,0.000477859
WECC_SNV,Arizona,129.2531217,2263850.199,7278717,5.71E-05,1.78E-05,WECC_SNV,Arizona,1.78E-05
WECC_SNV,Nevada,2263720.946,2263850.199,3080156,0.999942906,0.734937109,WECC_SNV,Nevada,0.734937109
WECC_UT,Colorado,155.8843264,3205430.527,5758736,4.86E-05,2.71E-05,WECC_UT,Colorado,2.71E-05
WECC_UT,Idaho,17.82233176,3205430.527,1787065,5.56E-06,9.97E-06,WECC_UT,Idaho,9.97E-06
WECC_UT,Utah,3205256.821,3205430.527,3205958,0.999945809,0.999781289,WECC_UT,Utah,0.999781289
WECC_WY,Colorado,2.323252116,751545.2139,5758736,3.09E-06,4.03E-07,WECC_WY,Colorado,4.03E-07
WECC_WY,Idaho,63.41314977,751545.2139,1787065,8.44E-05,3.55E-05,WECC_WY,Idaho,3.55E-05
WECC_WY,Montana,75.13155497,751545.2139,1068778,1.00E-04,7.03E-05,WECC_WY,Montana,7.03E-05
WECC_WY,Nebraska,3646.541366,751545.2139,1934408,0.004852059,0.001885094,WECC_WY,Nebraska,0.001885094
WECC_WY,South Dakota,169233.1667,751545.2139,884659,0.225180287,0.191297626,WECC_WY,South Dakota,0.191297626
WECC_WY,Utah,0.4969051,751545.2139,3205958,6.61E-07,1.55E-07,WECC_WY,Utah,1.55E-07
WECC_WY,Wyoming,578524.1409,751545.2139,578759,0.769779556,0.999594202,WECC_WY,Wyoming,0.999594202
WEC_BANC,California,1885547.743,1885547.743,39512223,1,0.047720619,WEC_BANC,California,0.047720619
WEC_CALN,California,13441853.61,13442492.3,39512223,0.999952487,0.34019482,WEC_CALN,California,0.34019482
WEC_CALN,Nevada,638.6947999,13442492.3,3080156,4.75E-05,0.000207358,WEC_CALN,Nevada,0.000207358
WEC_LADW,California,9979360.206,9979360.206,39512223,1,0.252563876,WEC_LADW,California,0.252563876
WECC_SDGE,California,3313440.259,3313440.259,39512223,1,0.083858614,WEC_SDGE,California,0.083858614
